SITE_CODE,SC_NEW,COMMON_NAM,DESIGNATED,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,MANAGING_D,COUNCIL_DI,COUNCIL_1,USE_RESTRI,MWWD_WATER,DEDIC_PK_O,SHAPE_AREA,SHAPE_LEN
M501RD,M501RD,VILLA MONSERATE PARK  342,NEIGHBORHD PARK,6.47000000,ROBUSTO RD & MUCHACHA WY,1229G7,TIERRASANTA,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,282575.15934200003,2245.79429158000
M603RD,M603RD,VILLA NORTE PARK      343,NEIGHBORHD PARK,5.12000000,CLAIREMONT MESA & SANTO NELY,1229J7,TIERRASANTA,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,228123.25926300001,1971.78410034000
N101RD,N101RD,CALUMET PARK          504,NEIGHBORHD PARK,0.70200000,CALUMET AV & COLIMA CT,1247F4,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,31675.94053180000,815.83676337800
N102RD,N102RD,HERMOSA TERRACE PARK  505,REGIONAL PARK,1.00000000,PALOMAR AV & NEPTUNE PL,1247E1,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,27065.40780050000,932.07871824400
N103RD,N103RD,LA JOLLA HERMOSA PK   504,REGIONAL PARK,0.32200000,CAMINO DE LA COSTA & CHELSEA,1247F3,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,15207.70377860000,633.39528669000
N107RD,N107RD,VIA D NORTE MINI-PARK 505,NEIGHBORHD PARK,0.30500000,VIA DEL NORTE & FAY AV SLY,1247F2,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,15877.92538650000,634.02282047400
N202RS,N202RS,"SESSIONS, K O MEM PK  512",NEIGHBORHD PARK,0.11500000,PARKVIEW TERRACE WLY BAHIA LN,1248A4,PACIFIC BEACH,PARK AND RECREATION,2,,UNKNOWN,W,N,3704.63069535000,248.74455125300
N214RD,N214RD,TOURMALINE SURFING PK 511,NEIGHBORHD PARK,8.81600000,LA JOLLA BLVD & TOURMALINE ST,1247G5,PACIFIC BEACH,PARK AND RECREATION,1,02,DEDIC PK/OS--ORD.,N,Y,348156.50531199999,8974.53150261000
N216RD,N216RD,BIRD ROCK PARK        504,NEIGHBORHD PARK,0.95100000,VAN NUYS WLY END,1247G4,LA JOLLA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,40230.18369530000,828.00839296300
N301RD,N301RD,CADMAN P&RC           460,COMMUNITY PARK,8.40500000,MORAGA CT & AVATI DR,1248D3,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,363674.57916000002,3357.72745491000
N303RD,N303RD,MT ETNA PARK          452,NEIGHBORHD PARK,7.18000000,MT ETNA ELY MT HERBERT,1248F2,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,318933.10906400002,2867.63394224000
N404RD,N404RD,MT ACADIA PARK        432,NEIGHBORHD PARK,7.47700000,MT ACADIA NLY MT ARARAT,1248H4,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,332920.77306600002,2340.75711092000
N405RD,N405RD,OLIVE GROVE P&RC      440,COMMUNITY PARK,9.23600000,MT ABERNATHY & PRINTWOOD WY,1248J2,CLAIREMONT MESA,PARK AND RECREATION,6,,DEDIC PK/OS--ORD.,N,Y,399711.70344499999,2517.86410200000
M204RD,M204RD,MARCY PARK            471,NEIGHBORHD PARK,10.96000000,STRESEMANN ST & BRAGG ST,1228B6,UNIVERSITY,PARK AND RECREATION,1,,VOTER RATIF. REQ'D,N,Y,474254.33212500002,3709.22449160000
M309RD,M309RD,STANDLEY P&RC         470,COMMUNITY PARK,20.56500000,GOVERNOR DR & MERCER ST,1228D5,UNIVERSITY,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,863966.15295200003,4932.86599396000
M602RD,M602RD,TIERRASANTA P&RC      340,COMMUNITY PARK,25.87000000,CLMNT MESA BLV & PROMESA CT,1250A1,TIERRASANTA,PARK AND RECREATION,7,,DEDIC PK/OS--ORD.,N,Y,1096383.65277999989,4268.44367225000
N102R2,N102R2,LA JOLLA STRAND PARK  505,NEIGHBORHD PARK,0.90000000,NEPTUNE PL & GRAVILLA,1247E1,LA JOLLA,PARK AND RECREATION,1,,DEDIC PK/OS--ORD.,N,Y,50701.76297850000,2202.20893791000
N102RS,N102RS,HERMOSA TERRACE PARK,REGIONAL PARK,0.08000000,PALOMAR AV & NEPTUNE PL,1247E1,LA JOLLA,PARK AND RECREATION,1,,VOTER RATIF. REQ'D,N,N,16215.65821590000,836.08530335100
N202RD,N202RD,"SESSIONS, K O MEM PK  512",NEIGHBORHD PARK,78.73000000,SOLEDAD ROAD & LORING ST,1248A4,PACIFIC BEACH,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,3507152.53150000004,7829.13691268000
R201RD,R201RD,PT LOMA CMTY PK       550,COMMUNITY PARK,9.74500000,CATALINA CYN ST & VARONA ST,1288A2,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,447298.50521999999,3743.60485405000
R204RD,R204RD,CABRILLO PK S MINI-PK 550,NEIGHBORHD PARK,0.09100000,LEROY & TRUMBULL STS,1288B2,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,5062.84622187000,384.39221943500
R402RD,R402RD,BALBOA PARK,REGIONAL PARK,1126.46000000,PARK BLV,1269C7,BALBOA PARK,PARK AND RECREATION,2,03,DEDIC PK/OS--ORD.,N,Y,47457404.73950000107,158549.26197799999
R503R1,R503R1,NONTCLAIR PARK EXPANSION,NEIGHBORHD PARK,0.41300000,MONTCLAIR ST WLY OF & SLY NILE ST,1269F7,GREATER NORTH PARK,PARK AND RECREATION,3,,NONE,N,N,18100.69407560000,540.32755726500
R505RD,R505RD,CITY HTS MINI-PARK    631,NEIGHBORHD PARK,0.32100000,39TH ST NLY QUINCE,1269G7,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,14055.19250800000,481.94561640100
R602RD,R602RD,HOLLYWOOD PARK        631,NEIGHBORHD PARK,14.09400000,SUMAC DR OFF FAIRMONT AV,1269H7,CITY HEIGHTS,PARK AND RECREATION,3,,DEDIC PK/OS--ORD.,N,Y,624599.43084199994,7082.64852127000
R603RD,R603RD,OAK PARK              622,NEIGHBORHD PARK,3.46000000,MAPLE ST & NUTMEG ST,1270A7,EASTERN AREAS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,151975.83047300001,1560.60121918000
R605RD,R605RD,CHOLLAS P&RC          620,COMMUNITY PARK,150.44800000,NWLY COLL GRV DR & COLL GRV WY,1270D6,EASTERN AREAS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,6602702.39042999968,15325.02775990000
R614RD,R614RD,SUNSHINE BERARDINI FIELD,NEIGHBORHD PARK,33.49500000,I-805 SELY & NLY FEDERAL BL,1289H2,CITY HEIGHTS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,1437640.65461000009,6606.40027015000
R645RD,R645RD,SUNSHINE BERARDINI FIELD,NEIGHBORHD PARK,0.94800000,FAIRMOUNT AV NELY OF/ELY REDGE VIEW,1289J1,CITY HEIGHTS,PARK AND RECREATION,4,,DEDIC PK/OS--ORD.,N,Y,33540.79443960000,856.70458878500
S201RD,S201RD,SUNSET CLIFFS PARK    552,REGIONAL PARK,51.34000000,LADERA & CORDOBA,1287H3,PENINSULA,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,2303812.15430000005,10515.74590100000
S405RD,S405RD,HORTON PLAZA          583,NEIGHBORHD PARK,0.49200000,BROADWAY BTWN B'DWAY CR & 4 AV,1289A3,CENTRE CITY,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,19830.84236700000,600.14864842100
S406RD,S406RD,PANTOJA PARK          583,NEIGHBORHD PARK,2.13100000,"INDIA ST & ""F"" ST",1289A3,CENTRE CITY,PARK AND RECREATION,2,,DEDIC PK/OS--ORD.,N,Y,93584.42715680000,1229.39246920000
S425RS,S425RS,DAVIS HOUSE MINI-PARK 583,NEIGHBORHD PARK,0.11500000,ISLAND & FOURTH,1289A4,CENTRE CITY,PARK AND RECREATION,2,,NONE,N,N,5164.53536718000,307.15276103500
