NAME_FULL,CARTO_NAME,CARTONAME2,PARK_TYPE,SHAPE_AREA,SHAPE_LEN
Otay Ranch POM2,Otay Ranch POM,,Preserve,33917454.95970000327,29167.20599360000
Otay Ranch POM3,Otay Ranch POM,,Preserve,33683885.01650000364,26456.81673640000
Otay Ranch POM4,Otay Ranch POM,,Preserve,28818078.49109999835,29310.61110450000
Otay Ranch POM5,Otay Ranch POM,,Preserve,7367555.31931999978,13494.18067610000
Otay Ranch Preserve2,Otay Ranch,Preserve,Preserve,2723849.60385000007,7557.10432019000
Otay Ranch Preserve3,Otay Ranch,Preserve,Preserve,2221914.19772000005,7716.53716319000
Barnett Ranch Preserve1,Barnett Ranch,Preserve,Preserve,11844.09760680000,1049.01251319000
Barnett Ranch Preserve2,Barnett Ranch,Preserve,Preserve,28974087.49139999971,36396.75827990000
Barnett Ranch Preserve3,Barnett Ranch,Preserve,Preserve,3441616.18245999981,13876.44861390000
Barnett Ranch Preserve4,Barnett Ranch,Preserve,Preserve,521.81953513000,121.74458159400
Escondido Creek,Escondido Creek,Preserve,Preserve,27606536.89479999989,75147.58882130000
Otay Ranch POM11,Otay Ranch POM,,Preserve,1544372.20704000001,4977.90976683000
Volcan Mountain Wilderness Preserve2,Volcan Mountain,Wilderness Preserve,Preserve,2722331.18386000022,7644.24950735000
Volcan Mountain Wilderness Preserve3,Volcan Mountain,Wilderness Preserve,Preserve,1561506.05007000011,5058.97731615000
Otay Ranch POM9,Otay Ranch POM,Millenia,Preserve,2851009.18264999986,7686.67618718000
Otay Ranch POM10,Otay Ranch POM,Millenia,Preserve,5512134.11283999961,15276.82993550000
Historic Flume Corridor,Historic Flume Corridor,,Trail,655233.86277100001,26361.72802460000
Stoneridge Preserve2,Stoneridge,Preserve,Preserve,32102.27582450000,717.98732438600
William Heise Regional Park2,William Heise,Regional Park,Regional Park/Camping Park,348604.57210400002,2393.93772164000
William Heise Regional Park3,William Heise,Regional Park,Regional Park/Camping Park,348541.51829600002,2436.49786722000
William Heise Regional Park4,William Heise,Regional Park,Regional Park/Camping Park,349083.48360600002,2616.36588510000
William Heise Regional Park5,William Heise,Regional Park,Regional Park/Camping Park,348766.21558299998,2397.78268309000
Santa Fe Valley Local Park,Santa Fe Valley,Park,Local Park,118940.66782600000,1434.97649908000
Flinn Springs MSCP,Flinn Springs MSCP,Preserve,Preserve,1443574.83640999999,7600.00610119000
Bottle Peak Preserve,Bottle Peak,Preserve,Preserve,16577776.47570000030,20168.00708200000
,,,,1517942.66045999993,6003.04360000000
