OBJECTID_1,OBJECTID,PARKID,PARKNAME,OWNERNAME,OWNCODE,OWNERTYPE,SHAPE_AREA,SHAPE_LEN
0,157,157,CORONADO CAYS SPORTS PARK,CITY OF CORONADO,10,City,393783.38659600000,3045.19322236000
0,866,716,,PRIVATE,500,Private,3263.98544385000,233.77581451300
0,868,718,Kumeyaay Ipai Interpretive Center,CITY OF POWAY,10,City,216026.05543499999,2500.56628099000
0,871,721,,GROSSMONT HIGH SCHOOL,25,School Districts,56712.84639780000,973.96184468300
0,872,722,,ARMY & NAVY ACADEMY HIGH SCHOOL,500,Private,15211.33112020000,530.64515548500
0,874,724,HILLSBOROUGH PARK,PRIVATE,500,Private,30579.92665650000,685.02549971000
0,881,731,MULBERRY PARK,PRIVATE,500,Private,37426.88821360000,759.95936371800
0,882,732,,PRIVATE,500,Private,3368.87788648000,245.03083329400
0,883,733,SIENNA PARK,PRIVATE,500,Private,29133.65496700000,721.60130122600
0,884,734,GROVE PARK,CITY OF ESCONDIDO,10,City,197848.40096999999,1886.11207991000
0,886,736,BREEN PARK,CITY OF SAN DIEGO,10,City,430220.38443500001,2656.57639001000
0,887,737,,CITY OF SAN DIEGO,10,City,14864.95594880000,696.12401728600
0,889,739,,PRIVATE,500,Private,6718.25490060000,372.02019960300
0,891,741,,PRIVATE,500,Private,3743.85874400000,249.79592253900
0,893,743,,CITY OF SAN DIEGO,10,City,53199.28264980000,926.44662195700
0,895,745,,PRIVATE,500,Private,5748.83881063000,403.29040371100
0,896,746,,PRIVATE,500,Private,6667.23920430000,371.48972989200
0,901,751,,CA DEPT OF FORESTRY AND FIRE PROTECTION,30,State,15967.94536930000,628.59925509400
0,903,753,,PRIVATE,500,Private,3100.50721817000,225.39023120500
0,904,754,,CITY OF SAN DIEGO,10,City,11387.09541830000,416.40436751900
0,905,755,,CITY OF EL CAJON,10,City,222318.24368499999,2621.14094984000
0,909,759,,MOUNT HELIX NATURE THEATRE,500,Private,3039.60572888000,382.47531439400
0,913,763,WINDINGWALK PARK,CITY OF CHULA VISTA,10,City,411171.29092399997,2636.97719189000
0,915,765,SALT CREEK PARK,CITY OF CHULA VISTA,10,City,1012734.70470999996,6575.49522804000
0,919,769,BAY VIEW PARK,CITY OF CORONADO,10,City,9091.50838928000,381.05300975500
0,921,771,,CITY OF SOLANA BEACH,10,City,343.68482457300,373.81304496700
0,922,772,,CITY OF SOLANA BEACH,10,City,34128.58999930000,1598.34843946000
0,924,774,,STATE OF CALIFORNIA,30,State,17615.12126710000,650.46027471000
0,925,775,,PRIVATE,500,Private,41208.64416450000,926.18912855000
0,926,776,FLINN SPRINGS PARK,COUNTY OF SAN DIEGO,20,County,1741978.74240999995,5690.39416581000
0,928,778,MOUNTAIN HAWK PARK,CITY OF CHULA VISTA,10,City,560305.56900000002,3592.97467817000
0,930,780,WINDINGWALK PARK,CITY OF CHULA VISTA,10,City,174683.35286300001,1865.85093545000
0,931,781,MONTEVALLE PARK,CITY OF CHULA VISTA,10,City,1330878.00343000004,6129.63123503000
0,932,782,,CITY OF SAN DIEGO,10,City,3492.62000771000,537.55795744800
0,933,783,,PRIVATE,500,Private,46278.73888520000,1027.88129277000
0,934,784,,PRIVATE,500,Private,45006.93891370000,926.58122892500
0,938,788,,CITY OF OCEANSIDE,10,City,740043.68312900001,4480.78309100000
0,939,789,,CITY OF OCEANSIDE,10,City,77200.79050950000,1258.61594500000
0,940,790,,CITY OF OCEANSIDE,10,City,131874.10964700000,1534.86507662000
0,941,791,,PRIVATE,500,Private,4368.02776150000,291.01632088200
0,942,792,HOLLANDIA PARK,CITY OF SAN MARCOS,10,City,1296194.34272999992,8826.86025832000
0,943,793,BEL ESPRIT PARK,CITY OF SAN MARCOS,10,City,88362.66549600000,2809.05809096000
0,944,794,,PRIVATE,500,Private,18508.57066750000,1089.58873114000
0,945,795,,CITY OF SAN MARCOS,10,City,184771.81378000000,1856.32365458000
0,948,798,,PRIVATE,500,Private,247671.25563000000,2391.06490762000
0,952,802,,PRIVATE,500,Private,67211.31029890000,999.09010220500
0,959,809,AUBREY PARK,POWAY,10,City,360860.19463099999,2733.88744765000
0,960,810,BRIERCREST PARK,CITY OF LA MESA,10,City,151425.27228999999,2011.15350785000
0,961,811,,PRIVATE,500,Private,18302.61462290000,869.89064120100
0,962,812,VETERANS PARK,CITY OF CHULA VISTA,10,City,436587.32442899997,2744.35031829000
0,0,0,MCGINTY MOUNTAIN PARK,COUNTY OF SAN DIEGO,20,County,44838.12408500000,877.41126023000
0,963,813,HORIZON PARK,CITY OF CHULA VISTA,10,City,245049.15412399999,2030.98180758000
0,964,814,,PRIVATE,500,Private,34286.57111610000,771.84923210400
0,218,218,KELLY STREET PARK,CITY OF SAN DIEGO,10,City,740012.08062999998,4077.45580358000
0,219,219,JOHN F KENNEDY  PARK,CITY OF SAN DIEGO,10,City,180428.21928100000,1804.06183672000
0,222,222,MARTIN LUTHER KING COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1505686.67510000011,5253.99545514000
0,223,223,"KING, MARTIN LUTHER JR PARK",CITY OF OCEANSIDE,10,City,672934.97351299995,3831.74255650000
0,225,225,KUNKEL PARK,CITY OF LEMON GROVE,10,City,43449.83769320000,1117.55462017000
0,226,226,LA COLONIA PARK,CITY OF SOLANA BEACH,10,City,149627.59876299999,1686.46326024000
0,227,227,LA JOLLA ATHLETIC AREA,CITY OF SAN DIEGO,10,City,300719.35556800000,3185.99672545000
0,229,229,LA JOLLA HERMOSA PARK,CITY OF SAN DIEGO,10,City,16563.31928290000,735.03036066100
0,230,230,LA JOLLA SHORES BEACH,CITY OF SAN DIEGO,10,City,482108.86196700000,7893.42078695000
0,231,231,LA JOLLA SHORES BEACH,CITY OF SAN DIEGO,10,City,15427.73575490000,1833.66048016000
0,233,233,LA MESITA PARK,CITY OF LA MESA,10,City,443060.51799399999,3093.31752143000
0,234,234,LAGUNA RIVERA PARK,CITY OF CARLSBAD,10,City,182861.07599000001,2051.25461869000
0,235,235,LAKE MURRAY COMMUNITY PARK,CITY OF SAN DIEGO,10,City,151121.15661599999,1979.09272419000
0,236,236,LAKE MURRAY COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1515778.25811000005,7224.47773980000
0,237,237,LAKE PARK,CITY OF OCEANSIDE,10,City,431731.01993900002,2735.14971962000
0,239,239,LAKEVIEW PARK,CITY OF SAN DIEGO,10,City,260604.57797400001,2362.00887148000
0,240,240,"LANDES, JOHN PARK",CITY OF OCEANSIDE,10,City,452692.50277399999,2688.75540134000
0,242,242,LAUDERBACH PARK,CITY OF CHULA VISTA,10,City,164576.77704099999,1816.17591775000
0,243,243,LEMON GROVE PARK,CITY OF LEMON GROVE,10,City,167927.86365799999,1780.38308220000
0,245,245,LIBBY LAKE PARK,CITY OF OCEANSIDE,10,City,767681.41145999997,5589.26604327000
0,246,246,LINDA VISTA COMMUNITY PARK,CITY OF SAN DIEGO,10,City,556652.53287600004,3406.37111587000
0,247,247,LINDA VISTA COMMUNITY PARK,CITY OF SAN DIEGO,10,City,137861.04607200000,1725.76265916000
0,248,248,LINDBERGH PARK,CITY OF SAN DIEGO,10,City,332790.60225699999,2459.81748327000
0,251,251,LOPEZ RIDGE PARK,CITY OF SAN DIEGO,10,City,369771.38300799998,2728.58185327000
0,253,253,CANYONSIDE COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1404557.74646999990,5690.46680456000
0,254,254,MACARTHUR PARK,CITY OF LA MESA,10,City,989698.04022199998,5937.68957828000
0,255,255,MACDOWELL PARK,CITY OF SAN DIEGO,10,City,137672.18494400001,1588.58481559000
0,257,257,MADDOX PARK,CITY OF SAN DIEGO,10,City,210004.74871000001,1888.07543003000
0,258,258,MAGEE PARK,CITY OF CARLSBAD,10,City,89493.53380710000,1192.57619445000
0,158,158,CORONADO CAYS SPORTS PARK,CITY OF CORONADO,10,City,227761.88826899999,2387.84703206000
0,159,159,CORONADO MUNICIPAL BEACH,CITY OF CORONADO,10,City,3982132.84748000000,17598.26559430000
0,160,160,SUNSET PARK,CITY OF CORONADO,10,City,151249.69083199999,1718.43257554000
0,162,162,COTTONWOOD PARK,CITY OF CHULA VISTA,10,City,292270.05582700000,2337.98519760000
0,163,163,CYPRESS CANYON PARK,CITY OF SAN DIEGO,10,City,532555.82643500005,3139.31215048000
0,165,165,DEL MAR CITY BEACH,CITY OF DEL MAR,10,City,24428.85623920000,862.52364051900
0,166,166,DEL MAR CITY BEACH,CITY OF DEL MAR,10,City,23852.96384450000,813.62468124100
0,167,167,DEL MAR CITY BEACH,CITY OF DEL MAR,10,City,28896.52641250000,869.65710984100
0,168,168,DEL MAR CITY BEACH,CITY OF DEL MAR,10,City,8470.25333246000,480.45237500300
0,169,169,DEL MAR CITY BEACH,CITY OF DEL MAR,10,City,8560.22902322000,493.74699452000
0,172,172,DEL MAR SHORES BEACH PARK,CITY OF SOLANA BEACH,10,City,45291.62280300000,2033.10586753000
0,174,174,"DENE, JESMOND PARK",CITY OF ESCONDIDO,10,City,1449119.13458000007,6345.47301845000
0,176,176,DOYLE COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1146839.05585999996,4668.99534880000
0,177,177,DUNES PARK,CITY OF IMPERIAL BEACH,10,City,194656.37623100000,4112.42459500000
0,178,178,DUSTY RHODES PARK,CITY OF SAN DIEGO,10,City,898407.08314300003,4352.91650072000
0,179,179,EAST CLAIREMONT ATHLETIC AREA,CITY OF SAN DIEGO,10,City,484473.97679400002,3264.54836139000
0,180,180,EL TOYON PARK,CITY OF NATIONAL CITY,10,City,515880.91552300000,4437.18906199000
0,181,181,EL TOYON PARK,CITY OF NATIONAL CITY,10,City,501717.19960300002,4812.32706032000
0,182,182,EMERALD HILLS PARK,CITY OF SAN DIEGO,10,City,409571.62979300000,4060.00662543000
0,183,183,ENCANTO COMMUNITY PARK,CITY OF SAN DIEGO,10,City,219036.18047900000,2068.98495302000
0,187,187,FIRESIDE PARK,CITY OF OCEANSIDE,10,City,151787.90201100000,1547.44672781000
0,188,188,FLETCHER COVE BEACH PARK,CITY OF SOLANA BEACH,10,City,43718.32465330000,875.23939971200
0,189,189,FLETCHER COVE BEACH PARK,CITY OF SOLANA BEACH,10,City,198166.69173200001,2521.75347669000
0,190,190,FLETCHER HILLS PARK,CITY OF EL CAJON,10,City,37447.69017770000,808.20268424200
0,191,191,FRIENDSHIP PARK,CITY OF CHULA VISTA,10,City,164864.84607900001,1730.75322349000
0,192,192,GERSHWIN PARK,CITY OF SAN DIEGO,10,City,234674.17444800001,2104.22243761000
0,194,194,GLORIETTA BAY PARK,CITY OF CORONADO,10,City,361890.40777400002,6515.02305998000
0,195,195,GOMPERS PARK,CITY OF SAN DIEGO,10,City,206226.98095100001,1927.52318003000
0,197,197,GRANTVILLE PARK,CITY OF SAN DIEGO,10,City,109517.83524700000,1487.14098048000
0,199,199,HARVEST PARK,CITY OF CHULA VISTA,10,City,317018.81932900002,2296.03652533000
0,200,200,WILLIE HENDERSON SPORTS COMPLEX,CITY OF SAN DIEGO,10,City,736620.13665600005,3918.78874497000
0,201,201,HERMOSA TERRACE PARK,CITY OF SAN DIEGO,10,City,120022.06964099999,3119.32216994000
0,202,202,HIGHLAND RANCH PARK,CITY OF SAN DIEGO,10,City,207451.15599400000,1961.39727862000
0,204,204,HILLTOP COMMUNITY PARK,CITY OF SAN DIEGO,10,City,540434.55609099998,2971.35752102000
0,208,208,HOLLYWOOD PARK,CITY OF SAN DIEGO,10,City,28387.11246800000,771.56483292600
0,209,209,HOWARD LANE PARK,CITY OF SAN DIEGO,10,City,294783.91119000001,2294.77332594000
0,213,213,JERABEK PARK,CITY OF SAN DIEGO,10,City,421772.08830599999,2979.38063394000
0,214,214,"JUDSON, C S PARK",CITY OF EL CAJON,10,City,11324.14397690000,438.33089349700
0,215,215,KEARNY MESA COMMUNITY PARK,CITY OF SAN DIEGO,10,City,1936862.14051999990,8905.48572075000
0,216,216,KEILLER PARK,CITY OF SAN DIEGO,10,City,247057.00894999999,2448.53028942000
0,217,217,KELLOGG PARK,CITY OF SAN DIEGO,10,City,349562.29934999999,3601.18272176000
0,316,316,MOUNT ETNA PARK,CITY OF SAN DIEGO,10,City,318926.67290700000,2866.93718079000
0,317,317,MOUNTAIN VIEW PARK,CITY OF SAN DIEGO,10,City,288411.68685100001,2344.90167732000
0,318,318,MOUNTAIN VIEW PARK,CITY OF SAN DIEGO,10,City,130158.16606000000,1792.47116010000
0,319,319,MOUNTAIN VIEW PARK,CITY OF SAN DIEGO,10,City,21517.88785340000,597.47488499400
0,320,320,MOUNTAIN VIEW PARK,CITY OF SAN DIEGO,10,City,9120.14331545000,482.31718315400
0,321,321,MOUNTAIN VIEW PARK,CITY OF ESCONDIDO,10,City,405631.45527799998,3177.62280602000
0,323,323,MURRAY RIDGE PARK,CITY OF SAN DIEGO,10,City,448719.25235199998,3153.34006102000
0,324,324,NESTOR PARK,CITY OF SAN DIEGO,10,City,217264.40730300001,2415.87713075000
0,0,0,VALLEY VIEW PARK,CITY OF SAN MARCOS,10,City,40437.07812760000,803.05304495100
0,0,0,REGENCY HILLS PARK,CITY OF SAN MARCOS,10,City,41463.58529830000,961.93676729200
0,0,0,FOOTHILLS PARK,CITY OF SAN MARCOS,10,City,48203.35873240000,856.43837262500
0,0,0,QUAIL HILLS PARK,CITY OF SAN MARCOS,10,City,55607.95173920000,955.56672181400
0,0,0,AMIGO PARK,CITY OF SAN MARCOS,10,City,32233.38940190000,727.85287330000
0,0,0,PEBBLESTONE PARK,CITY OF SAN MARCOS,10,City,33291.39109590000,1054.26383420000
0,0,0,SENIOR CENTER TOT LOT,CITY OF SAN MARCOS,10,City,10768.94952990000,415.96769607400
0,0,0,BUELOW PARK,CITY OF SAN MARCOS,10,City,82958.97320420000,3745.77065938000
0,0,0,SAN MARCOS SCHOOLHOUSE PARK,CITY OF SAN MARCOS,10,City,158051.59936800000,1786.40553402000
0,0,0,CIVIC CENTER RECREATION AREA,CITY OF SAN MARCOS,10,City,27002.46625480000,799.77963843800
0,0,0,MISSION SPORTS PARK,CITY OF SAN MARCOS,10,City,612232.84771400003,3808.66411941000
0,0,0,LAKEVIEW PARK,CITY OF SAN MARCOS,10,City,1438035.76386000006,7875.40044247000
0,0,0,DISCORVERY MEADOWS PARK,CITY OF SAN MARCOS,10,City,60571.41081480000,1611.67144684000
0,0,0,RIDGELINE TRAILHEAD,CITY OF SAN MARCOS,10,City,83438.18529690000,1166.23487787000
0,0,0,DOUBLE PEAK REGIONAL PARK,CITY OF SAN MARCOS,10,City,115146.35060700000,1352.16103532000
0,0,0,DOUBLE PEAK REGIONAL PARK,CITY OF SAN MARCOS,10,City,9127329.34136999957,29275.34973050000
0,0,0,QUESTHAVEN PARK,CITY OF SAN MARCOS,10,City,107788.83886200000,1514.32568433000
0,0,0,SAN ELIJO PARK,CITY OF SAN MARCOS,10,City,920706.07364700001,4435.19251376000
0,0,0,SIMMONS FAMILY PARK,CITY OF SAN MARCOS,10,City,256157.82305300000,2402.95407498000
0,0,0,LAURELS PARK,CITY OF SAN MARCOS,10,City,34235.19992210000,918.51263367000
0,0,0,MONTIEL PARK,CITY OF SAN MARCOS,10,City,433663.78613199998,3646.46096899000
0,0,0,WHITE ALDER PARK,CITY OF SAN MARCOS,10,City,17521.61538870000,635.28162668200
0,0,0,JACK'S POND PARK,CITY OF SAN MARCOS,10,City,961059.10057000001,7127.54900025000
0,0,0,ECKE SPORTS PARK,YMCA OF SAN DIEGO COUNTY,500,Private,914616.62378799997,4121.17333347000
0,666,666,PARK,THE CENTER FOR NATURAL LANDSCAPING,500,Private,188847.99182200001,1943.32847400000
