X,Y,@id,leisure,FIXME,area,wheelchair,source,source_ref,access,operator,name,barrier,surface,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,is_in:city,is_in:country,is_in:country_code,is_in:state,is_in:state_code,designation,amenity
6332136.514277685433626,1979620.333011872600764,node/1672171191,playground,,,,,,,,,,,,,,,,,,,,,,
6139615.765514303930104,2154437.682705385610461,node/1767276672,playground,,,,,,,,,,,,,,,,,,,,,,
6458714.989856708794832,1786277.005057732807472,node/1890615245,playground,,,,,,,,Parque Andalucia,,,,,,,,,,,,,,
6451786.685627677477896,1786555.706967170815915,node/1903081892,playground,,,,,,,,parque el descanso,,,,,,,,,,,,,,
6108563.42557982262224,2161989.887110223062336,node/1949857482,playground,,,,Visual,,,,Pacific Ridge Community Association Playground,,,,,,,,,,,,,Playground,
6112487.565858578309417,2165147.736379412468523,node/2128294787,playground,,,,,,,,Aliso Viejo Aquatic Center Playground,,,,,,,,,,,,,,
6237045.988234942778945,2031111.29598961235024,node/2341607958,playground,,,,,,,,,,,,,,,,,,,,,,
6283522.53716157656163,1910966.505289012333378,node/2450163257,playground,,,,,,,,,,,,,,,,,,,,,,
6289621.27814485412091,1850394.609059567330405,node/2504421567,playground,,,,,,,,,,,,,,,,,,,,,,
6289882.951107833534479,1849906.200417285086587,node/2504421568,playground,,,,,,,,Bird Park Swingset,,,,,,,,,,,,,,
6345287.79106368497014,1820578.830374933546409,node/2659959394,playground,,,,,,,,,,,,,,,,,,,,,,
6345344.123107490129769,1820607.195198860950768,node/2659959619,playground,,,,,,,,,,,,,,,,,,,,,,
6287928.069258602336049,1994087.849965453380719,node/2882820358,playground,,,,,,,,Jacks Lake,,,,,,,,,,,,,,
6246213.36335778888315,1965166.777273592771962,node/2913720628,playground,,,,,,,,,,,,,,,,,,,,,,
6251129.295725642703474,1988233.837070703972131,node/2956750333,playground,,,,,,,,,,,,,,,,,,,,,,
6238799.310183535329998,1972206.423812804510817,node/2973902330,playground,,,,,,,,,,,,,,,,,,,,,,
6287860.696246313862503,1998120.60933889541775,node/3285115961,playground,,,,,,,,,,,,,,,,,,,,,,
6283815.082976478151977,2003041.035300507443026,node/3285185931,playground,,,,,,,,Tot Lot,,,,,,,,,,,,,,
6283181.988142327405512,2000856.038125815102831,node/3285186734,playground,,,,,,,,Tot Lot,,,,,,,,,,,,,,
6291133.803751464001834,1923368.88637217017822,node/3285187333,playground,,,,,,,,,,,,,,,,,,,,,,
6079917.205952170304954,2178384.974954364821315,node/3466646397,playground,,,,,,,,University Hills Space Park,,,,,,,,,,,,,,
6138712.47004525270313,2160958.485663458239287,node/3502009063,playground,,,,,,,,,,,,,,,,,,,,,,
6138701.63712041452527,2161034.65136459376663,node/3502009102,playground,,,,,,,,,,,,,,,,,,,,,,
6164518.828425851650536,2141926.649022471159697,node/3648111912,playground,,,,GPS Survey,,,,,,,,,,,,,,,,,,toilets
6233268.073189435526729,2033175.32340136449784,node/3699267061,playground,,,,,,,,,,,,,,,,,,,,,,
