@id,leisure,FIXME,area,wheelchair,source,source_ref,access,operator,name,barrier,surface,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,is_in:city,is_in:country,is_in:country_code,is_in:state,is_in:state_code,designation,amenity
way/103760953,playground,,,,,,,,,,,,,,,,,,,,,,
way/103906501,playground,,,,,,,,,,,,,,,,,,,,,,
way/103913821,playground,,,,,,,,,,,,,,,,,,,,,,
way/104946029,playground,,,,,,,,,,,,,,,,,,,,,,
way/104946141,playground,,,,,,,,,,,,,,,,,,,,,,
way/104946199,playground,,,,,,,,,,,,,,,,,,,,,,
way/104946322,playground,,,,,,,,,,,,,,,,,,,,,,
way/104946433,playground,,,,,,,,,,,,,,,,,,,,,,
way/105206798,playground,,,,,,,,,,,,,,,,,,,,,,
way/105207675,playground,,,,,,,,,,,,,,,,,,,,,,
way/105430336,playground,,,,,,,,,,,,,,,,,,,,,,
way/105564286,playground,,,,,,,,,,,,,,,,,,,,,,
way/105568624,playground,,,,,,,,,,,,,,,,,,,,,,
way/105568754,playground,,,,,,,,,,,,,,,,,,,,,,
way/105569047,playground,,,,,,,,,,,,,,,,,,,,,,
way/105569048,playground,,,,,,,,,,,,,,,,,,,,,,
way/105761622,playground,,,,,,,,,,,,,,,,,,,,,,
way/105765515,playground,,,,,,,,,,,,,,,,,,,,,,
way/105785017,playground,,,,,,,,,,,,,,,,,,,,,,
way/105785029,playground,,,,,,,,,,,,,,,,,,,,,,
way/105800999,playground,,,,,,,,,,,,,,,,,,,,,,
way/105826823,playground,,,,,,,,,,,,,,,,,,,,,,
way/105826828,playground,,,,,,,,,,,,,,,,,,,,,,
way/105951166,playground,,,,,,,,,,,,,,,,,,,,,,
way/106022663,playground,,,,,,,,,,,,,,,,,,,,,,
way/106509411,playground,,,,,,,,,,,,,,,,,,,,,,
way/106509431,playground,,,,,,,,,,,,,,,,,,,,,,
way/106606933,playground,,,,,,,,,,,,,,,,,,,,,,
way/106844030,playground,,,,,,,,,,,,,,,,,,,,,,
way/106844870,playground,,,,,,,,,,,,,,,,,,,,,,
way/106844875,playground,,,,,,,,,,,,,,,,,,,,,,
way/106847351,playground,,,,,,,,,,,,,,,,,,,,,,
way/106858845,playground,,,,,,,,,,,,,,,,,,,,,,
way/106860262,playground,,,,,,,,,,,,,,,,,,,,,,
way/106861017,playground,,,,,,,,,,,,,,,,,,,,,,
way/106862555,playground,,,,,,,,,,,,,,,,,,,,,,
way/106864335,playground,,,,,,,,,,,,,,,,,,,,,,
way/106966367,playground,,,,,,,,,,,,,,,,,,,,,,
way/106973311,playground,,,,,,,,,,,,,,,,,,,,,,
way/107129463,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/107207525,playground,,,,,,,,,,,,,,,,,,,,,,
way/107268871,playground,,,,,,,,,,,,,,,,,,,,,,
way/107269009,playground,,,,,,,,,,,,,,,,,,,,,,
way/107269120,playground,,,,,,,,,,,,,,,,,,,,,,
way/107269443,playground,,,,,,,,,,,,,,,,,,,,,,
way/107391541,playground,,,,,,,,,,,,,,,,,,,,,,
way/107391548,playground,,,,,,,,,,,,,,,,,,,,,,
way/107501748,playground,,,,,,,,,,,,,,,,,,,,,,
way/107656730,playground,,,,,,,,,,,,,,,,,,,,,,
way/107712823,playground,,,,,,,,,,,,,,,,,,,,,,
way/108049935,playground,,,,,,,,Pennant Village Playground,,,,,,,,,,,,,,
way/108063749,playground,,,,,,,,,,,,,,,,,,,,,,
way/108064386,playground,,,,,,,,,,,,,,,,,,,,,,
way/108281443,playground,,,,,,,,,,,,,,,,,,,,,,
way/108281447,playground,,,,,,,,,,,,,,,,,,,,,,
way/108383961,playground,,,,,,,,,,,,,,,,,,,,,,
way/108398205,playground,,,,,,,,,,,,,,,,,,,,,,
way/108398633,playground,,,,,,,,,,,,,,,,,,,,,,
way/108401757,playground,,,,,,,,,,,,,,,,,,,,,,
way/108402017,playground,,,,,,,,,,,,,,,,,,,,,,
way/108490258,playground,,,,"bing_imagery_0.25m_201005;survey;audio",AM909_201105062031_2044,,,,,,,,,,,,,,,,,
way/108490269,playground,,,,,,,,,,,,,,,,,,,,,,
way/108500190,playground,,,,,,,,,,,,,,,,,,,,,,
way/108625837,playground,,,,,,,,,,,,,,,,,,,,,,
way/108627837,playground,,,,,,,,,,,,,,,,,,,,,,
way/108627838,playground,,,,,,,,,,,,,,,,,,,,,,
way/108651880,playground,,,,,,,,,,,,,,,,,,,,,,
way/108651916,playground,,,,,,,,,,,,,,,,,,,,,,
way/108651918,playground,,,,,,,,,,,,,,,,,,,,,,
way/108651924,playground,,,,,,,,,,,,,,,,,,,,,,
way/108833773,playground,,,,"bing_imagery_0.25m_201005;survey;image",AM909_DSCX4268,private,,,,,,,,,,,,,,,,
way/109830365,playground,,,,,,,,,,,,,,,,,,,,,,
way/109830538,playground,,,,,,,,,,,,,,,,,,,,,,
way/109831061,playground,,,,,,,,,,,,,,,,,,,,,,
way/109831285,playground,,,,,,,,,,,,,,,,,,,,,,
way/109831396,playground,,,,,,,,,,,,,,,,,,,,,,
way/109831397,playground,,,,,,,,,,,,,,,,,,,,,,
way/109933220,playground,,,,Bing,,,,,,,,,,,,,,,,,,
way/109935201,playground,,,,,,,,,,,,,,,,,,,,,,
way/109938309,playground,,,,,,,,,,,,,,,,,,,,,,
way/109938493,playground,,,,,,,,,,,,,,,,,,,,,,
way/109938652,playground,,,,,,,,,,,,,,,,,,,,,,
way/111875969,playground,,,,,,,,,,,,,,,,,,,,,,
way/112932477,playground,,,,,,,,,,,,,,,,,,,,,,
way/112932494,playground,,,,,,,,,,,,,,,,,,,,,,
way/113519554,playground,,,,,,,,,,,,,,,,,,,,,,
way/113525184,playground,,,,,,,,,,,,,,,,,,,,,,
way/113536842,playground,,,,,,,,,,,,,,,,,,,,,,
way/113537269,playground,,,,,,,,,,,,,,,,,,,,,,
way/113540022,playground,,,,,,,,,,,,,,,,,,,,,,
way/113541094,playground,,,,,,,,,,,,,,,,,,,,,,
way/113775683,playground,,,,,,,,,,,,,,,,,,,,,,
way/114042485,playground,,,,,,,,,,,,,,,,,,,,,,
